name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Asteras Tripolis vs PAOK,2025-09-28 17:30:00,Game ended in draw.,Greece Super Liga,Asteras Tripolis,PAOK,3,3,14.0,3.0,4.0,4.0,0.0,8.0,9.0,14.0,63.0,97.0,46.0,49.0,40.0,60.0,0.0,2.0,6.0,11.0,3.0,3.0,4.0,0.0,11.0,3.0,8.0,11.0,9.0,12.0,0.0,4.0,7.0,4.0,6.28,4.26,1.54,1.88,1.95,,,,,1.9,1.97,5.5,4.33,1.53,1.75,2.0,,,,,1.87,1.92,2025-2026
Panaitolikos vs Panathinaikos,2025-09-28 18:00:00,Panathinaikos won after full-time.,Greece Super Liga,Panaitolikos,Panathinaikos,1,2,9.0,12.0,2.0,5.0,3.0,4.0,8.0,12.0,57.0,106.0,20.0,66.0,34.0,66.0,1.0,0.0,5.0,8.0,3.0,4.0,1.0,2.0,2.0,6.0,4.0,7.0,12.0,16.0,3.0,0.0,2.0,3.0,6.13,4.07,1.57,1.79,2.07,,,1.82,2.06,2.01,1.86,5.75,4.0,1.57,1.75,2.0,,,1.77,2.02,1.95,1.85,2025-2026
Atromitos vs Larissa,2025-09-29 15:00:00,,Greece Super Liga,Atromitos,Larissa,1,1,9.0,11.0,2.0,3.0,8.0,3.0,14.0,5.0,96.0,77.0,61.0,36.0,68.0,32.0,1.0,0.0,10.0,3.0,4.0,2.0,1.0,4.0,4.0,11.0,9.0,5.0,17.0,18.0,1.0,2.0,2.0,6.0,2.12,3.19,3.93,1.89,1.94,,,1.98,1.89,,,2.0,3.3,3.9,1.8,1.95,,,1.95,1.85,,,2025-2026
OFI vs Aris,2025-10-04 15:00:00,OFI won after full-time.,Greece Super Liga,OFI,Aris,3,0,12.0,4.0,2.0,5.0,2.0,6.0,9.0,12.0,59.0,116.0,18.0,68.0,33.0,67.0,,,7.0,7.0,2.0,5.0,3.0,1.0,11.0,2.0,7.0,12.0,17.0,19.0,6.0,2.0,4.0,0.0,4.05,3.59,1.94,1.96,1.88,,,,,2.06,1.82,3.9,3.7,1.9,1.95,1.8,,,1.87,1.92,2.0,1.8,2025-2026
Panserraikos vs Asteras Tripolis,2025-10-04 15:00:00,Panserraikos won after full-time.,Greece Super Liga,Panserraikos,Asteras Tripolis,2,1,14.0,13.0,2.0,4.0,6.0,2.0,10.0,10.0,72.0,81.0,26.0,45.0,53.0,47.0,,,6.0,6.0,3.0,4.0,2.0,0.0,6.0,7.0,8.0,8.0,25.0,18.0,4.0,0.0,5.0,4.0,2.74,3.1,2.85,2.0,1.84,,,1.9,1.97,,,2.62,3.2,2.75,1.95,1.8,,,1.85,1.95,,,2025-2026
Larissa vs Volos NFC,2025-10-04 17:30:00,Volos NFC won after full-time.,Greece Super Liga,Larissa,Volos NFC,2,5,12.0,8.0,10.0,2.0,6.0,6.0,15.0,20.0,91.0,63.0,38.0,22.0,49.0,51.0,1.0,0.0,9.0,13.0,6.0,7.0,1.0,2.0,5.0,7.0,11.0,16.0,16.0,21.0,8.0,2.0,4.0,3.0,2.56,2.88,3.33,1.85,1.98,1.81,2.08,2.04,1.84,,,2.62,2.87,3.0,1.75,2.0,1.77,2.02,2.02,1.77,,,2025-2026
Levadiakos vs Panaitolikos,2025-10-05 15:00:00,Levadiakos won after full-time.,Greece Super Liga,Levadiakos,Panaitolikos,6,0,6.0,12.0,6.0,2.0,5.0,6.0,17.0,7.0,137.0,57.0,77.0,26.0,71.0,29.0,3.0,0.0,13.0,6.0,4.0,1.0,1.0,0.0,10.0,8.0,16.0,7.0,11.0,9.0,1.0,4.0,0.0,3.0,1.69,3.61,5.77,1.71,2.18,1.78,2.09,2.01,1.86,,,1.61,3.7,5.75,1.61,2.2,1.75,2.05,1.97,1.82,,,2025-2026
Kifisia vs AEK Athens,2025-10-05 15:00:00,AEK Athens won after full-time.,Greece Super Liga,Kifisia,AEK Athens,2,3,7.0,2.0,6.0,3.0,7.0,4.0,16.0,9.0,73.0,77.0,39.0,57.0,38.0,62.0,1.0,1.0,11.0,7.0,4.0,1.0,1.0,1.0,7.0,10.0,13.0,7.0,20.0,18.0,0.0,4.0,3.0,6.0,8.14,4.75,1.41,1.73,2.15,,,1.81,2.07,1.87,2.0,8.0,4.75,1.36,1.66,2.1,,,,,1.85,1.95,2025-2026
PAOK vs Olympiacos F.C.,2025-10-05 17:30:00,PAOK won after full-time.,Greece Super Liga,PAOK,Olympiacos F.C.,2,1,3.0,1.0,1.0,3.0,3.0,6.0,10.0,9.0,111.0,114.0,39.0,43.0,51.0,49.0,1.0,0.0,7.0,7.0,3.0,2.0,3.0,2.0,8.0,5.0,8.0,7.0,13.0,14.0,1.0,3.0,4.0,3.0,3.02,3.0,2.68,2.06,1.79,1.8,2.03,1.88,1.98,,,2.7,3.2,2.6,1.95,1.8,1.8,2.0,1.85,1.95,,,2025-2026
Panathinaikos vs Atromitos,2025-10-05 18:30:00,Panathinaikos won after full-time.,Greece Super Liga,Panathinaikos,Atromitos,1,0,11.0,9.0,6.0,2.0,7.0,2.0,19.0,3.0,142.0,58.0,88.0,19.0,58.0,42.0,,,15.0,1.0,4.0,2.0,3.0,1.0,2.0,10.0,14.0,2.0,18.0,17.0,0.0,7.0,0.0,1.0,1.28,5.65,11.64,1.64,2.31,,,1.85,1.97,1.83,2.05,1.28,5.75,9.5,1.61,2.2,,,1.82,1.97,1.8,2.0,2025-2026
