name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Sporting Charleroi vs Antwerp,2025-08-17 16:30:00,Game ended in draw.,Belgium Liga Pro,Sporting Charleroi,Antwerp,1,1,13.0,7.0,4.0,1.0,4.0,3.0,13.0,10.0,100.0,82.0,43.0,29.0,52.0,48.0,,,7.0,5.0,6.0,5.0,1.0,3.0,4.0,8.0,8.0,8.0,18.0,17.0,4.0,3.0,3.0,3.0,2.42,3.24,3.2,2.06,1.81,,,1.82,2.08,2.08,1.81,2.25,3.4,3.2,1.95,1.8,,,1.77,2.02,1.92,1.87,2025-2026
Cercle Brugge vs Westerlo,2025-08-17 17:15:00,Cercle Brugge won after full-time.,Belgium Liga Pro,Cercle Brugge,Westerlo,4,1,15.0,11.0,1.0,11.0,3.0,15.0,12.0,25.0,75.0,116.0,32.0,56.0,47.0,53.0,,,10.0,13.0,2.0,12.0,3.0,0.0,10.0,4.0,8.0,15.0,10.0,16.0,5.0,3.0,0.0,1.0,2.15,3.68,3.36,2.47,1.58,,,,,,,2.05,3.6,3.25,2.25,1.57,,,,,,,2025-2026
Standard Liège vs Cercle Brugge,2025-08-23 16:15:00,Cercle Brugge won after full-time.,Belgium Liga Pro,Standard Liège,Cercle Brugge,0,3,6.0,9.0,4.0,3.0,7.0,4.0,15.0,18.0,108.0,128.0,58.0,55.0,56.0,44.0,,,9.0,15.0,6.0,3.0,2.0,3.0,8.0,10.0,13.0,12.0,4.0,12.0,6.0,3.0,1.0,3.0,2.87,3.31,2.61,2.07,1.78,1.81,2.09,1.82,2.08,2.08,1.81,2.7,3.3,2.55,2.0,1.75,,,1.85,1.95,2.0,1.8,2025-2026
Zulte-Waregem vs Sint-Truiden,2025-08-23 18:45:00,Sint-Truiden won after full-time.,Belgium Liga Pro,Zulte-Waregem,Sint-Truiden,0,2,11.0,2.0,2.0,11.0,1.0,8.0,6.0,18.0,77.0,98.0,28.0,50.0,36.0,64.0,,,3.0,10.0,3.0,8.0,3.0,0.0,11.0,3.0,2.0,11.0,10.0,14.0,2.0,2.0,2.0,0.0,2.6,3.47,2.78,2.27,1.64,,,,,1.85,2.04,2.5,3.4,2.62,2.1,1.66,,,,,1.8,2.0,2025-2026
Antwerp vs Mechelen,2025-08-24 11:30:00,Antwerp won after full-time.,Belgium Liga Pro,Antwerp,Mechelen,2,1,8.0,5.0,6.0,13.0,4.0,11.0,9.0,25.0,83.0,99.0,23.0,63.0,40.0,60.0,,,4.0,16.0,5.0,9.0,1.0,1.0,11.0,5.0,3.0,11.0,13.0,8.0,7.0,0.0,0.0,3.0,2.01,3.55,3.91,2.31,1.62,,,,,1.87,2.02,1.95,3.4,3.7,2.0,1.75,,,,,1.85,1.95,2025-2026
La Louvière vs Union Saint-Gilloise,2025-08-24 16:30:00,Game ended in draw.,Belgium Liga Pro,La Louvière,Union Saint-Gilloise,0,0,13.0,2.0,5.0,2.0,3.0,4.0,5.0,10.0,87.0,136.0,52.0,50.0,32.0,68.0,,,3.0,8.0,2.0,2.0,1.0,5.0,6.0,9.0,4.0,7.0,6.0,15.0,5.0,1.0,2.0,3.0,8.55,4.77,1.4,1.82,2.03,,,,,1.82,2.01,6.5,5.0,1.38,1.8,1.95,,,,,,,2025-2026
Dender vs OH Leuven,2025-08-24 17:15:00,OH Leuven won after full-time.,Belgium Liga Pro,Dender,OH Leuven,0,1,15.0,16.0,4.0,6.0,2.0,3.0,4.0,11.0,101.0,89.0,49.0,42.0,59.0,41.0,,,3.0,9.0,1.0,2.0,5.0,2.0,3.0,9.0,6.0,6.0,8.0,14.0,3.0,2.0,3.0,4.0,2.54,3.34,2.94,2.07,1.78,,,,,2.02,1.87,2.4,3.2,3.0,2.0,1.75,,,,,2.0,1.8,2025-2026
Cercle Brugge vs Sint-Truiden,2025-08-29 18:45:00,Game ended in draw.,Belgium Liga Pro,Cercle Brugge,Sint-Truiden,1,1,7.0,1.0,3.0,8.0,4.0,10.0,13.0,17.0,131.0,92.0,47.0,41.0,51.0,49.0,,,10.0,9.0,3.0,8.0,1.0,1.0,11.0,10.0,8.0,15.0,8.0,9.0,4.0,3.0,2.0,1.0,2.09,3.58,3.62,2.25,1.66,,,,,1.84,2.05,2.0,3.5,3.3,2.2,1.61,,,,,1.9,1.9,2025-2026
Mechelen vs La Louvière,2025-08-30 14:00:00,Mechelen won after full-time.,Belgium Liga Pro,Mechelen,La Louvière,3,2,7.0,11.0,4.0,6.0,4.0,6.0,13.0,12.0,85.0,78.0,49.0,38.0,66.0,34.0,,,11.0,8.0,2.0,4.0,2.0,0.0,10.0,9.0,11.0,9.0,13.0,9.0,3.0,5.0,1.0,0.0,2.11,3.63,3.52,2.16,1.71,,,,,1.88,2.01,2.05,3.4,3.4,2.05,1.7,,,,,1.82,1.97,2025-2026
Westerlo vs Antwerp,2025-08-30 16:15:00,Westerlo won after full-time.,Belgium Liga Pro,Westerlo,Antwerp,2,0,15.0,5.0,5.0,4.0,5.0,5.0,16.0,13.0,70.0,116.0,42.0,51.0,39.0,61.0,0.0,1.0,12.0,6.0,4.0,7.0,1.0,3.0,10.0,4.0,6.0,8.0,19.0,14.0,3.0,6.0,2.0,3.0,1.93,3.75,3.99,2.47,1.56,,,,,,,1.95,3.6,3.7,2.37,1.53,,,,,,,2025-2026
