name,starting_at,result_info,league_name,home_team,away_team,home_goals,away_goals,home_position,away_position,home_corners,away_corners,home_shots-off-target,away_shots-off-target,home_shots-total,away_shots-total,home_attacks,away_attacks,home_dangerous-attacks,away_dangerous-attacks,home_ball-possession,away_ball-possession,home_penalties,away_penalties,home_shots-insidebox,away_shots-insidebox,home_shots-outsidebox,away_shots-outsidebox,home_offsides,away_offsides,home_goals-kicks,away_goals-kicks,home_goal-attempts,away_goal-attempts,home_fouls,away_fouls,home_saves,away_saves,home_yellowcards,away_yellowcards,odds_pinnacle_home,odds_pinnacle_draw,odds_pinnacle_away,odds_btts_pinnacle_no,odds_btts_pinnacle_yes,odds_over_pinnacle_2,odds_under_pinnacle_2,odds_over_pinnacle_2_25,odds_under_pinnacle_2_25,odds_over_pinnacle_2_5,odds_under_pinnacle_2_5,odds_bet365_home,odds_bet365_draw,odds_bet365_away,odds_btts_bet365_no,odds_btts_bet365_yes,odds_over_bet365_2_0,odds_under_bet365_2_0,"odds_over_bet365_2_0, 2_5","odds_under_bet365_2_0, 2_5",odds_over_bet365_2_5,odds_under_bet365_2_5,Temporada
Rayo Vallecano vs FC Barcelona,2025-08-31 19:30:00,Game ended in draw.,Spain La Liga,Rayo Vallecano,FC Barcelona,1,1,11.0,3.0,9.0,4.0,3.0,6.0,12.0,12.0,100.0,86.0,38.0,36.0,43.0,57.0,0.0,1.0,10.0,8.0,3.0,4.0,7.0,2.0,11.0,5.0,11.0,8.0,16.0,8.0,2.0,5.0,4.0,1.0,6.46,5.27,1.44,2.33,1.63,,,,,,,6.75,5.25,1.4,2.2,1.61,,,,,,,2025-2026
Sevilla vs Elche,2025-09-12 19:00:00,Game ended in draw.,Spain La Liga,Sevilla,Elche,2,2,12.0,7.0,2.0,2.0,2.0,3.0,7.0,5.0,111.0,58.0,44.0,30.0,53.0,47.0,,,4.0,2.0,3.0,3.0,1.0,0.0,4.0,3.0,3.0,3.0,23.0,19.0,0.0,1.0,4.0,3.0,1.92,3.39,4.66,1.81,2.06,1.8,2.09,2.05,1.86,,,1.9,3.3,4.5,1.75,2.0,1.77,2.1,2.02,1.82,2.0,1.85,2025-2026
Getafe vs Real Oviedo,2025-09-13 12:00:00,Getafe won after full-time.,Spain La Liga,Getafe,Real Oviedo,2,0,3.0,15.0,4.0,3.0,4.0,2.0,10.0,5.0,105.0,65.0,39.0,25.0,48.0,52.0,,,6.0,1.0,4.0,4.0,1.0,1.0,3.0,7.0,7.0,2.0,12.0,18.0,1.0,1.0,2.0,5.0,2.03,2.96,5.07,1.49,2.69,2.12,1.81,,,,,2.0,2.87,4.75,1.5,2.5,2.1,1.77,,,,,2025-2026
Real Sociedad vs Real Madrid,2025-09-13 14:15:00,Real Madrid won after full-time.,Spain La Liga,Real Sociedad,Real Madrid,1,2,16.0,1.0,12.0,4.0,7.0,7.0,23.0,16.0,117.0,87.0,70.0,34.0,64.0,36.0,1.0,0.0,15.0,14.0,8.0,2.0,0.0,2.0,8.0,15.0,16.0,14.0,17.0,7.0,4.0,3.0,2.0,1.0,5.63,4.21,1.61,2.14,1.75,,,,,1.84,1.92,5.25,4.2,1.6,2.0,1.75,,,,,1.85,2.0,2025-2026
Athletic Club vs Deportivo Alavés,2025-09-13 16:30:00,Deportivo Alavés won after full-time.,Spain La Liga,Athletic Club,Deportivo Alavés,0,1,2.0,11.0,6.0,6.0,4.0,2.0,12.0,4.0,142.0,78.0,64.0,28.0,58.0,42.0,,,7.0,0.0,5.0,4.0,2.0,1.0,1.0,12.0,7.0,3.0,17.0,21.0,2.0,3.0,2.0,4.0,1.61,3.78,6.72,1.58,2.44,1.81,2.11,2.13,1.8,,,1.61,3.7,6.25,1.53,2.37,1.8,2.05,2.1,1.77,2.05,1.8,2025-2026
Atlético Madrid vs Villarreal,2025-09-13 19:00:00,Atlético Madrid won after full-time.,Spain La Liga,Atlético Madrid,Villarreal,2,0,16.0,4.0,8.0,3.0,3.0,4.0,8.0,8.0,126.0,80.0,55.0,46.0,61.0,39.0,,,5.0,5.0,3.0,3.0,1.0,0.0,10.0,5.0,6.0,5.0,12.0,15.0,1.0,1.0,2.0,4.0,1.82,3.68,4.8,2.12,1.76,,,,,1.86,2.06,1.8,3.8,4.33,2.0,1.75,,,,,,,2025-2026
Celta de Vigo vs Girona,2025-09-14 12:00:00,Game ended in draw.,Spain La Liga,Celta de Vigo,Girona,1,1,15.0,20.0,10.0,3.0,9.0,2.0,21.0,13.0,119.0,65.0,75.0,36.0,60.0,40.0,1.0,0.0,14.0,10.0,7.0,3.0,0.0,3.0,4.0,16.0,14.0,6.0,7.0,9.0,7.0,6.0,0.0,3.0,1.76,3.78,4.98,2.09,1.78,,,,,1.86,2.04,1.72,3.75,5.0,1.95,1.8,,,,,1.85,2.0,2025-2026
Levante vs Real Betis,2025-09-14 14:15:00,Game ended in draw.,Spain La Liga,Levante,Real Betis,2,2,19.0,10.0,4.0,12.0,2.0,8.0,5.0,28.0,73.0,122.0,38.0,86.0,33.0,67.0,,,4.0,21.0,1.0,7.0,2.0,1.0,12.0,8.0,5.0,18.0,16.0,11.0,7.0,0.0,4.0,2.0,3.72,3.63,2.06,2.33,1.63,,,1.81,2.09,1.88,2.02,3.5,3.4,2.0,2.1,1.66,,,1.8,2.05,1.85,2.0,2025-2026
Osasuna vs Rayo Vallecano,2025-09-14 16:30:00,Osasuna won after full-time.,Spain La Liga,Osasuna,Rayo Vallecano,2,0,15.0,12.0,3.0,6.0,1.0,7.0,9.0,19.0,66.0,116.0,31.0,67.0,36.0,64.0,,,6.0,12.0,3.0,7.0,0.0,1.0,15.0,8.0,6.0,7.0,13.0,7.0,6.0,4.0,3.0,2.0,2.89,2.96,2.92,1.71,2.19,2.1,1.81,2.08,1.82,,,2.8,2.9,2.8,1.61,2.2,2.05,1.8,2.1,1.77,2.0,1.85,2025-2026
FC Barcelona vs Valencia,2025-09-14 19:00:00,FC Barcelona won after full-time.,Spain La Liga,FC Barcelona,Valencia,6,0,4.0,11.0,5.0,4.0,10.0,1.0,24.0,2.0,126.0,69.0,52.0,24.0,72.0,28.0,,,16.0,2.0,8.0,0.0,4.0,4.0,2.0,12.0,21.0,4.0,9.0,8.0,1.0,5.0,0.0,1.0,1.35,5.7,8.75,2.13,1.75,,,,,,,1.36,5.25,7.5,2.1,1.66,,,,,,,2025-2026
